2026-05-15 10:13:05 | Temp: 24.51°C | Hum: 59.58% | Vent: False | Riego: False
2026-05-15 10:13:07 | Temp: 24.73°C | Hum: 59.77% | Vent: False | Riego: False
2026-05-15 10:13:09 | Temp: 24.65°C | Hum: 59.93% | Vent: False | Riego: False
2026-05-15 10:13:12 | Temp: 24.84°C | Hum: 59.96% | Vent: False | Riego: False
2026-05-15 10:13:14 | Temp: 24.8°C | Hum: 60.36% | Vent: False | Riego: False
2026-05-15 10:13:16 | Temp: 24.78°C | Hum: 59.93% | Vent: False | Riego: False
2026-05-15 10:13:18 | Temp: 24.38°C | Hum: 59.73% | Vent: False | Riego: False
2026-05-15 10:13:20 | Temp: 24.5°C | Hum: 60.05% | Vent: False | Riego: False
2026-05-15 10:13:22 | Temp: 24.05°C | Hum: 60.46% | Vent: False | Riego: False
2026-05-15 10:13:24 | Temp: 23.67°C | Hum: 60.61% | Vent: False | Riego: False
2026-05-15 10:13:26 | Temp: 24.08°C | Hum: 60.9% | Vent: False | Riego: False
2026-05-15 10:13:28 | Temp: 24.05°C | Hum: 61.01% | Vent: False | Riego: False
2026-05-15 10:13:30 | Temp: 24.25°C | Hum: 60.84% | Vent: False | Riego: False
2026-05-15 10:13:32 | Temp: 24.53°C | Hum: 61.3% | Vent: False | Riego: False
2026-05-15 10:13:34 | Temp: 24.24°C | Hum: 61.39% | Vent: False | Riego: False
2026-05-15 10:13:36 | Temp: 23.98°C | Hum: 61.19% | Vent: False | Riego: False
2026-05-15 10:13:38 | Temp: 23.72°C | Hum: 61.08% | Vent: False | Riego: False
2026-05-15 10:13:40 | Temp: 23.77°C | Hum: 60.99% | Vent: False | Riego: False
2026-05-15 10:13:42 | Temp: 23.89°C | Hum: 60.77% | Vent: False | Riego: False
2026-05-15 10:13:44 | Temp: 23.57°C | Hum: 60.35% | Vent: False | Riego: False
2026-05-15 10:13:46 | Temp: 23.93°C | Hum: 59.91% | Vent: False | Riego: False
2026-05-15 10:13:48 | Temp: 24.09°C | Hum: 59.76% | Vent: False | Riego: False
2026-05-15 10:13:50 | Temp: 24.35°C | Hum: 59.33% | Vent: False | Riego: False
